state,participation,composite,year
Alabama,1.0,18.9,2019-01-01
Alaska,0.38,20.1,2019-01-01
Arizona,0.73,19.0,2019-01-01
Arkansas,1.0,19.3,2019-01-01
California,0.23,22.6,2019-01-01
Colorado,0.27,23.8,2019-01-01
Connecticut,0.22,25.5,2019-01-01
Delaware,0.13,24.1,2019-01-01
District of Columbia,0.32,23.5,2019-01-01
Florida,0.54,20.1,2019-01-01
Georgia,0.49,21.4,2019-01-01
Hawaii,0.8,19.0,2019-01-01
Idaho,0.31,22.5,2019-01-01
Illinois,0.35,24.3,2019-01-01
Indiana,0.29,22.5,2019-01-01
Iowa,0.66,21.6,2019-01-01
Kansas,0.72,21.2,2019-01-01
Kentucky,1.0,19.8,2019-01-01
Louisiana,1.0,18.8,2019-01-01
Maine,0.06,24.3,2019-01-01
Maryland,0.28,22.3,2019-01-01
Massachusetts,0.21,25.5,2019-01-01
Michigan,0.19,24.4,2019-01-01
Minnesota,0.95,21.4,2019-01-01
Mississippi,1.0,18.4,2019-01-01
Missouri,0.82,20.8,2019-01-01
Montana,1.0,19.8,2019-01-01
Nebraska,1.0,20.0,2019-01-01
Nevada,1.0,17.9,2019-01-01
New Hampshire,0.14,25.0,2019-01-01
New Jersey,0.25,24.2,2019-01-01
New Mexico,0.63,19.3,2019-01-01
New York,0.22,24.5,2019-01-01
North Carolina,1.0,19.0,2019-01-01
North Dakota,0.96,19.9,2019-01-01
Ohio,1.0,20.0,2019-01-01
Oklahoma,1.0,18.9,2019-01-01
Oregon,0.42,21.1,2019-01-01
Pennsylvania,0.17,23.6,2019-01-01
Rhode Island,0.12,24.7,2019-01-01
South Carolina,0.78,18.8,2019-01-01
South Dakota,0.75,21.6,2019-01-01
Tennessee,1.0,19.4,2019-01-01
Texas,0.39,20.5,2019-01-01
Utah,1.0,20.3,2019-01-01
Vermont,0.2,24.1,2019-01-01
Virginia,0.21,24.0,2019-01-01
Washington,0.24,22.1,2019-01-01
West Virginia,0.49,20.8,2019-01-01
Wisconsin,1.0,20.3,2019-01-01
Wyoming,1.0,19.8,2019-01-01
