state,participation,composite,year
Alabama,1.0,19.1,2018-01-01
Alaska,0.33,20.8,2018-01-01
Arizona,0.66,19.2,2018-01-01
Arkansas,1.0,19.4,2018-01-01
California,0.27,22.7,2018-01-01
Colorado,0.3,23.9,2018-01-01
Connecticut,0.26,25.6,2018-01-01
Delaware,0.17,23.8,2018-01-01
District of Columbia,0.32,23.6,2018-01-01
Florida,0.66,19.9,2018-01-01
Georgia,0.53,21.4,2018-01-01
Hawaii,0.89,18.9,2018-01-01
Idaho,0.36,22.3,2018-01-01
Illinois,0.43,23.9,2018-01-01
Indiana,0.32,22.5,2018-01-01
Iowa,0.68,21.8,2018-01-01
Kansas,0.71,21.6,2018-01-01
Kentucky,1.0,20.2,2018-01-01
Louisiana,1.0,19.2,2018-01-01
Maine,0.07,24.0,2018-01-01
Maryland,0.31,22.5,2018-01-01
Massachusetts,0.25,25.5,2018-01-01
Michigan,0.22,24.2,2018-01-01
Minnesota,0.99,21.3,2018-01-01
Mississippi,1.0,18.6,2018-01-01
Missouri,1.0,20.0,2018-01-01
Montana,1.0,20.0,2018-01-01
Nebraska,1.0,20.1,2018-01-01
Nevada,1.0,17.7,2018-01-01
New Hampshire,0.16,25.1,2018-01-01
New Jersey,0.31,23.7,2018-01-01
New Mexico,0.67,19.4,2018-01-01
New York,0.27,24.5,2018-01-01
North Carolina,1.0,19.1,2018-01-01
North Dakota,0.98,20.3,2018-01-01
Ohio,1.0,20.3,2018-01-01
Oklahoma,1.0,19.3,2018-01-01
Oregon,0.42,21.3,2018-01-01
Pennsylvania,0.2,23.5,2018-01-01
Rhode Island,0.15,24.2,2018-01-01
South Carolina,1.0,18.3,2018-01-01
South Dakota,0.77,21.9,2018-01-01
Tennessee,1.0,19.6,2018-01-01
Texas,0.45,20.7,2018-01-01
Utah,1.0,20.4,2018-01-01
Vermont,0.24,24.1,2018-01-01
Virginia,0.24,23.9,2018-01-01
Washington,0.24,22.2,2018-01-01
West Virginia,0.65,20.3,2018-01-01
Wisconsin,1.0,20.5,2018-01-01
Wyoming,1.0,20.0,2018-01-01
